9.999782751917336149e-03 -5.708477628392407549e-05 9.999348258583828919e-01 -1.141683124012514775e-02
1.999821950654113306e-02 -2.305498915990563898e-04 9.997290822155885381e-01 -2.327578510764020253e-02
2.999390758749014702e-02 -5.222048886027530826e-04 9.993854007707539955e-01 -3.505453931061355832e-02
3.998569712066415982e-02 -9.261717406547128467e-04 9.989534672556129591e-01 -4.573806137112350345e-02
4.997271154495429302e-02 -1.434764449533965005e-03 9.984319133601661234e-01 -5.597958899418083167e-02
5.995345506726686841e-02 -2.054097101968119666e-03 9.976931204539957188e-01 -6.788547266365996258e-02
6.992719502166476475e-02 -2.777861993693406164e-03 9.970413917878957477e-01 -7.686652757641436462e-02
7.989331172950299431e-02 -3.599790191116426352e-03 9.961629780913479060e-01 -8.751754727011556989e-02
8.985014488117668008e-02 -4.527447352471969562e-03 9.951852164527055233e-01 -9.801216737722714956e-02
9.979684043594490295e-02 -5.558168097020213527e-03 9.941367405894646625e-01 -1.081302039679722105e-01
1.097324578690031666e-01 -6.690696458289647000e-03 9.929691452838305121e-01 -1.183734620356232670e-01
1.196560092407803616e-01 -7.924503515039649226e-03 9.917242923232071350e-01 -1.283858559812334488e-01
1.295682859907792972e-01 -9.245976104532597356e-03 9.907215453001211314e-01 -1.359073937581761760e-01
1.394706748395636575e-01 -1.063963624478295178e-02 9.897481737761990583e-01 -1.428235012407936266e-01
1.493625522292218732e-01 -1.210601486555416134e-02 9.886175022944123647e-01 -1.504507698789131487e-01
1.592418885126547223e-01 -1.365457936458995374e-02 9.872366624180862749e-01 -1.592600777897521247e-01
1.691078789340768884e-01 -1.528605589734582416e-02 9.859512139388804108e-01 -1.670335407409191952e-01
1.789609203647864744e-01 -1.699400467260828163e-02 9.846475039694116971e-01 -1.745545557320336838e-01
1.888018822600990576e-01 -1.877027721007753017e-02 9.835384814541895393e-01 -1.806987977236899634e-01
1.986316348352322458e-01 -2.060757076167515911e-02 9.824058070626929817e-01 -1.867587487897139908e-01
2.084489379454878555e-01 -2.251023580996206613e-02 9.810464632814593910e-01 -1.937726422458564135e-01
2.182526026332553271e-01 -2.448197555973369646e-02 9.796786107534450894e-01 -2.005737261761878498e-01
2.280428599494755404e-01 -2.651925703131479892e-02 9.783660798164188765e-01 -2.068811587957040954e-01
2.378215495008834113e-01 -2.861139494427535068e-02 9.773681221796309826e-01 -2.115456304135415466e-01
2.475899174370768674e-01 -3.075120352797125478e-02 9.763014192248311574e-01 -2.164152000659412822e-01
2.573482346713383828e-01 -3.293640140429380386e-02 9.753590026081961906e-01 -2.206236978004533777e-01
2.670972791974454141e-01 -3.516260692636265228e-02 9.744471767489668590e-01 -2.246167841590846204e-01
