# r_1; r_2; theta_1; theta_2
2.05505078495296;2.24066191653442;0.233068155884965;-1.36544379613084
1.54875803156768;1.05722564356053;-0.282087308600063;-2.53585264182166
1.97475091005734;1.37761687961293;0.134927478149558;-2.20241494492984
0.495653338716256;0.868317164035689;-1.35327069842296;-2.69865481264272
1.9859080558757;0.340509557444493;0.127760032745687;-3.21339505775897
0.776297677932235;0.902950673860867;-1.09119393343544;-2.63788465120879
1.45223872221441;0.980044010180475;-0.424713355152571;-2.54772635810853
2.08048064101889;1.10239430433451;0.193958534619736;-2.41232051954477
1.16479872912638;1.73734451397045;-0.731388777272597;-1.76432638136211
1.45603773214026;0.105435762975836;-0.449902401021988;-3.38320625094055
1.65400523521711;1.82504603483761;-0.26177131061281;-1.6505872778449
2.71648663113871;0.564396498115935;0.790795518734496;-2.89825233272648
0.903915457017166;1.62891146863673;-1.0317652147193;-1.82078239071397
2.41652234042506;1.97447933847876;0.470772792392361;-1.46229942678399
2.33476387850874;1.86913384935286;0.378867410401702;-1.55477764363064
2.356448239435;0.283075896422741;0.390331505387895;-3.12802206412798
1.67564007638295;-0.416134059861256;-0.300763797482256;-3.81447629692924
1.36375345364113;0.456541256809031;-0.622996649083241;-2.92910521391979
2.41841622196568;1.50597486903324;0.42126786196604;-1.86703743241773
2.02522555073597;1.46132177963543;0.0176283790163762;-1.89912490899157
1.92013114315494;1.45388175390732;-0.097967434043554;-1.89407938069478
2.47539431590068;0.968046989403829;0.446743367193949;-2.36751685290434
1.20198002266248;0.525593467729398;-0.837275889583;-2.7976747584304
2.06194556538253;0.521512022704564;0.0120298568939138;-2.78957849675129
0.906006826355278;2.17648322370156;-1.154620407845;-1.12255683110308
2.14254943277298;0.876517910557609;0.0711649019184595;-2.41060295970929
1.59460764882312;1.39311538851571;-0.487576340659632;-1.88222502374696
2.09947599876545;1.01587622946505;0.00645545107225293;-2.24782600493008
2.55364898850281;1.01674371774312;0.449758177885079;-2.23546899419849
2.84680526455431;1.2287661810421;0.732012099899395;-2.01211607758071
2.21689828759758;0.285294107785336;0.0911736855452556;-2.94442367532869
2.06186228174747;0.884470122397538;-0.0748230622467927;-2.33426624096983
1.36769750302411;1.6094566553396;-0.779977544263839;-1.59849890293754
2.10898490099285;1.1740809138238;-0.0497053467226544;-2.02330218271058
2.58578341941496;1.54849808381995;0.416056558737917;-1.63852480557146
2.53388179867961;0.835668089285773;0.353100202240489;-2.34121255080002
1.64854796304419;0.435865185641964;-0.543304056953304;-2.73110017050645
2.95320806800693;1.1167570476023;0.750272190294915;-2.04053008815119
1.8974925879013;1.14885974735424;-0.316538112960932;-1.99899495326231
1.36251591113442;0.697777863667026;-0.862618139991521;-2.44089906714924
1.81627390969374;1.49760270744376;-0.4199695200391;-1.63215898715609
1.889534846142;2.13013361478595;-0.357821450942245;-0.990982252073692
0.56942249853239;0.668402523604911;-1.68904795138118;-2.44434802225207
1.55328661188116;2.09215172061829;-0.716296646043239;-1.01251752151701
1.65402343602486;1.45241765804964;-0.626668696525359;-1.64445281985659
2.44736936349536;0.929414821299944;0.155574422252963;-2.15994344051714
1.8379153146461;1.68741585525049;-0.464974340111065;-1.39472503099758
