5.581941738112368157e-01 2.885893829155396495e-01 2.846966194318537591e-01 3.533064155565405207e-01 3.597007423900703271e-01 3.601511932299456542e-01 3.602439382898857678e-01 3.602604522333036630e-01 3.602638590652777473e-01 3.602645834005985814e-01
1.484725192431164409e+00 1.244357808210077687e+00 1.053219411784259707e+00 9.968357659901918577e-01 1.018379993904997338e+00 9.090357673407857275e-01 8.855650397941458030e-01 8.923412495136219258e-01 8.787469558577196693e-01 8.748909717491736293e-01
1.189397495538845106e+00 4.601285560180539691e-01 3.117133490717203248e-01 2.358150558441090838e-01 2.973451184817404447e-01 3.000534121132862886e-01 3.036562543344648590e-01 3.043097592195817547e-01 3.045716699834021823e-01 3.046354952993819976e-01
9.566702410358369768e-01 9.268438485455468001e-01 9.451657891631126684e-01 9.419953735731865230e-01 9.312130863154134408e-01 9.144566203282609163e-01 8.908362964038389897e-01 8.608830910914314627e-01 8.287823719908574693e-01 8.007274480985087095e-01
2.754460125865323405e+00 1.861817706515559667e+00 1.175572604171179369e+00 1.190947202474259115e+00 1.281743602479104016e+00 1.286919716383315260e+00 1.158140109731066181e+00 1.148678036069540997e+00 1.108955837335634298e+00 1.112929032041709787e+00
1.064550447206046302e+00 5.621181570765824143e-01 5.014485151204804980e-01 4.946027628505251794e-01 5.091232401502713278e-01 5.098811204986412049e-01 5.100198934300145259e-01 5.099670508210474296e-01 5.099555294771871417e-01 5.099486269736157595e-01
1.317991678633839481e+00 1.031953492904533976e+00 8.320587363688866089e-01 7.968041328259870548e-01 8.377085036224500847e-01 8.296326030485715597e-01 8.358552847419544740e-01 8.350851429601665599e-01 8.294769727193769260e-01 8.149823887121220301e-01
1.343384600148662900e+00 5.551237139618583338e-01 3.382049261122426764e-01 2.191321090695216856e-01 2.089736649283764902e-01 2.111654252466479698e-01 2.112272371518825742e-01 2.111736363261736693e-01 2.111700956108165383e-01 2.111674606291707723e-01
2.257248203358050986e+00 3.768480066664302575e-01 1.805950670616635334e-01 2.314275495082604717e-01 1.843733640841680455e-01 2.201677757017901915e-01 1.857597580289090944e-01 2.126228584503886410e-01 1.880208164277457905e-01 2.079906627440680777e-01
1.836388156890069068e+00 6.160642270621778938e-01 4.397061636836453458e-01 4.005256455014146733e-01 3.870718945112003317e-01 3.798587375750659967e-01 3.760546725389167233e-01 3.737947970908329087e-01 3.724682019540458966e-01 3.716573127920205777e-01
1.249773614771124697e+00 8.363499232589376442e-01 7.724456591182846665e-01 7.759021150175614556e-01 7.320632585992170593e-01 7.132867620796615737e-01 7.097860206152406537e-01 7.070744243662434592e-01 7.039072133193339242e-01 6.999015538252916224e-01
1.621402277526433400e+00 1.240420624605969024e+00 1.251648410708846137e+00 1.239905738756692299e+00 1.240866335279427135e+00 1.233230477341148212e+00 1.229115776639992941e+00 1.221575352596909969e+00 1.214667740754808545e+00 1.206450577229950305e+00
1.134615669113894887e+00 7.156916644383369830e-01 5.502396202799193503e-01 3.698503680754782197e-01 3.241674974619919714e-01 3.526549981536947209e-01 3.209911823808599407e-01 3.476140656670924645e-01 3.243805127211200623e-01 3.445510541885435374e-01
1.156102024091398661e+01 7.789535781378599033e+00 5.367179793570381996e+00 2.017639483163142788e+00 1.386422906686199497e+00 1.388849213194571774e+00 1.367897717142330993e+00 1.367768357235331411e+00 1.367518055360838813e+00 1.367516519480774573e+00
